caff_unit,carb_unit,weight,fat_gm,caff_value,fat_value,pro_unit,carb_value,carb_gm,pro_gm,pro_value,measure,caff_gm,fat_unit,id
mg,g,85.0,22.35,--,19.00,g,0.00,0.0,27.33,23.23,3.0 oz,--,g,13820
mg,g,28.35,17.33,--,4.91,g,0.00,0.0,17.37,4.92,1.0 oz,--,g,13819
mg,g,85.0,3.38,--,2.87,g,0.00,0.0,23.35,19.85,3.0 oz,--,g,23361
mg,g,70.0,8.57,3,6.00,g,26.00,37.14,4.29,3.00,1.0 serving,4.0,g,01238
mg,g,85.0,13.3,--,11.30,g,0.00,0.0,31.06,26.40,3.0 oz,--,g,13382
mg,g,85.0,3.43,--,2.92,g,0.00,0.0,29.52,25.09,3.0 oz,--,g,13420
mg,g,70.0,3.04,1,2.13,g,27.75,39.64,4.29,3.00,1.0 serving,1.0,g,01241
mg,g,85.0,10.84,--,9.21,g,0.00,0.0,25.7,21.84,3.0 oz,--,g,23552
mg,g,85.0,2.52,--,2.14,g,0.00,0.0,23.41,19.90,3.0 oz,--,g,23362
mg,g,70.0,2.86,1,2.00,g,30.00,42.86,5.71,4.00,1.0 serving,1.0,g,01242
mg,g,234.0,1.36,0,3.18,g,27.31,11.67,2.37,5.55,"1.0 cup, cooked",0.0,g,08123
mg,g,85.0,12.26,--,10.42,g,0.00,0.0,24.61,20.92,3.0 oz,--,g,23528
mg,g,85.0,3.83,--,3.26,g,0.00,0.0,23.24,19.75,3.0 oz,--,g,23334
mg,g,50.0,24.1,2,12.05,g,12.25,24.5,4.1,2.05,1.0 bar,3.0,g,01237
mg,g,45.0,4.84,0,2.18,g,34.24,76.08,9.53,4.29,1.0 packet,0.0,g,08128
mg,g,85.0,8.76,--,7.45,g,0.00,0.0,27.3,23.20,3.0 oz,--,g,23531
mg,g,85.0,4.47,--,3.80,g,0.00,0.0,29.66,25.21,3.0 oz,--,g,23351
mg,g,298.0,3.69,0,11.00,g,68.99,23.15,3.36,10.01,1.0 medium,0.0,g,01263
mg,g,240.0,1.21,0,2.90,g,45.48,18.95,2.37,5.69,1.0 cup,0.0,g,08129
mg,g,85.0,6.34,--,5.39,g,0.00,0.0,26.82,22.80,3.0 oz ( 1 serving  ),--,g,23514
mg,g,85.0,3.48,--,2.96,g,0.00,0.0,23.26,19.77,3.0 oz,--,g,23333
mg,g,86.0,13.0,2,11.18,g,19.09,22.2,4.1,3.53,0.5 cup,2.0,g,01236
mg,g,44.0,4.03,0,1.77,g,33.59,76.33,8.45,3.72,1.0 packet,0.0,g,08132
mg,g,85.0,6.69,--,5.69,g,0.00,0.0,25.95,22.06,3.0 oz,--,g,13937
mg,g,85.0,4.83,--,4.11,g,0.00,0.0,29.79,25.32,3.0 oz,--,g,23352
mg,g,58.0,11.0,2,6.38,g,16.36,28.2,3.8,2.20,1.0 individual (3.5 fl oz),3.0,g,19270
mg,g,240.0,0.95,0,2.28,g,42.98,17.91,1.98,4.75,1.0 cup,0.0,g,08133
mg,g,242.0,0.3,0,0.73,g,11.62,4.8,0.4,0.97,1.0 cup,0.0,g,09002
mg,g,85.0,0.95,--,0.81,g,0.00,0.0,15.97,13.57,3.0 oz,--,g,15145
mg,g,156.0,0.47,0,0.73,g,8.25,5.29,2.17,3.39,1.0 cup pieces,0.0,g,11797
mg,g,28.35,11.03,0,3.13,g,15.27,53.87,6.2,1.76,1.0 oz,0.0,g,18009
mg,g,85.0,5.82,--,4.95,g,0.00,0.0,28.09,23.88,3.0 oz,--,g,13940
mg,g,85.0,3.98,--,3.38,g,0.00,0.0,29.47,25.05,3.0 oz,--,g,23353
mg,g,68.0,7.19,1,4.89,g,17.48,25.7,5.0,3.40,1.0 serving,2.0,g,19114
mg,g,234.0,1.52,0,3.56,g,28.08,12.0,2.54,5.94,1.0 cup,0.0,g,08180
mg,g,29.5,0.0,--,0.00,g,0.48,1.64,0.24,0.07,1.0 fl oz,--,g,14006
mg,g,145.0,0.86,--,1.25,g,0.00,0.0,19.0,27.55,1.0 cup,--,g,15148
mg,g,156.0,0.47,0,0.73,g,8.25,5.29,2.17,3.39,1.0 cup pieces,0.0,g,11261
mg,g,58.0,10.58,0,6.14,g,26.87,46.32,6.66,3.86,1.0 biscuit,0.0,g,18014
mg,g,85.0,6.75,--,5.74,g,0.00,0.0,26.36,22.41,3.0 oz,--,g,23515
mg,g,85.0,2.95,--,2.51,g,0.00,0.0,23.3,19.80,3.0 oz,--,g,23335
mg,g,72.0,5.74,0,4.13,g,19.29,26.79,3.54,2.55,1.0 serving 1/2 cup,0.0,g,19265
mg,g,81.0,6.52,0,5.28,g,54.84,67.7,13.15,10.65,1.0 cup,0.0,g,08120
mg,g,356.0,0.0,--,0.00,g,2.74,0.77,0.25,0.89,12.0 fl oz,--,g,14248
mg,g,150.0,0.75,--,1.12,g,0.00,0.0,16.52,24.78,1.0 lobster,--,g,15147
mg,g,70.0,0.34,0,0.24,g,2.28,3.26,3.09,2.16,"1.0 cup, pieces or slices",0.0,g,11260
mg,g,51.0,11.22,0,5.72,g,25.02,49.05,6.79,3.46,1.0 biscuit,0.0,g,18015
mg,g,28.35,5.02,--,1.42,g,0.00,0.0,19.63,5.57,1.0 oz,--,g,23513
mg,g,85.0,3.9,--,3.32,g,0.00,0.0,29.85,25.37,3.0 oz,--,g,23381
mg,g,148.0,16.98,6,25.13,g,29.27,19.78,4.72,6.99,1.0 cup,4.0,g,43541
mg,g,234.0,1.52,0,3.56,g,28.08,12.0,2.54,5.94,1.0 cup,0.0,g,08121
mg,g,29.5,0.0,--,0.00,g,0.22,0.73,0.17,0.05,1.0 fl oz,--,g,14013
mg,g,128.0,1.36,--,1.74,g,0.00,0.0,20.42,26.14,1.0 cup,--,g,15152
mg,g,108.0,0.33,0,0.36,g,4.36,4.04,3.58,3.87,1.0 cup sliced,0.0,g,11263
mg,g,58.0,7.83,0,4.54,g,25.35,43.7,6.7,3.89,1.0 serving 1 biscuit,0.0,g,18012
mg,g,85.0,7.04,--,5.98,g,0.00,0.0,29.34,24.94,3.0 oz,--,g,23517
mg,g,85.0,3.04,--,2.58,g,0.00,0.0,23.37,19.86,3.0 oz,--,g,23363
mg,g,86.0,13.0,0,11.18,g,19.09,22.2,4.1,3.53,0.5 cup (4 fl oz),0.0,g,19090
mg,g,28.0,5.46,0,1.53,g,20.43,72.96,8.98,2.51,1.0 packet (1 NLEA serving),0.0,g,08094
mg,g,29.7,0.0,--,0.00,g,1.05,3.55,0.46,0.14,1.0 fl oz,--,g,14003
mg,g,85.0,12.28,0,10.44,g,9.75,11.47,21.39,18.18,3.0 oz,0.0,g,15150
mg,g,140.0,0.47,0,0.66,g,6.31,4.51,2.56,3.58,"1.0 cup, chopped",0.0,g,11799
mg,g,28.35,9.1,0,2.58,g,14.63,51.6,7.8,2.21,1.0 oz,0.0,g,18013
mg,g,141.0,10.18,--,14.35,g,0.00,0.0,32.07,45.22,1.0 steak,--,g,23119
mg,g,85.0,4.26,--,3.62,g,0.00,0.0,29.94,25.45,3.0 oz,--,g,23382
mg,g,58.0,12.7,2,7.37,g,15.54,26.8,3.8,2.20,1.0 individual (3.5 fl oz),3.0,g,19899
mg,g,29.0,2.14,0,0.62,g,22.74,78.42,7.31,2.12,1.0 packet,0.0,g,08092
mg,g,33.6,0.3,--,0.10,g,13.98,41.6,0.0,0.00,1.0 fl oz,--,g,14034
mg,g,85.0,1.7,0,1.44,g,1.29,1.52,22.78,19.36,3.0 oz,0.0,g,15151
mg,g,140.0,0.47,0,0.66,g,6.31,4.51,2.56,3.58,"1.0 cup, chopped",0.0,g,11271
mg,g,85.0,8.62,--,7.33,g,0.00,0.0,25.45,21.63,3.0 oz,--,g,17148
mg,g,85.0,4.79,--,4.07,g,0.00,0.0,21.13,17.96,3.0 oz,--,g,23122
mg,g,85.0,3.38,--,2.87,g,0.00,0.0,23.35,19.85,3.0 oz,--,g,23364
mg,g,58.0,12.7,0,7.37,g,12.89,22.23,3.17,1.84,1.0 individual (3.5 fl oz),0.0,g,19898
mg,g,43.0,4.61,0,1.98,g,33.00,76.74,8.62,3.71,1.0 packet (1 NLEA serving),0.0,g,08124
mg,g,30.2,--,0,--,g,2.10,6.94,0.06,0.02,1.0 fl oz,0.0,g,14010
mg,g,6.0,1.01,0,0.06,g,0.05,0.91,13.61,0.82,1.0 medium,0.0,g,15149
mg,g,150.0,0.25,0,0.38,g,4.66,3.11,2.27,3.40,"1.0 cup, chopped",0.0,g,11273
